timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
2820,-1340,-553,137,3579,3564,1484
2840,-1602,-549,324,-45,4165,-1358
2860,-1581,-563,161,-2701,3200,-3588
2880,-2068,-639,194,-3180,3227,-5271
2900,-2567,-703,388,-2337,3804,-7861
2920,-2773,-629,616,-850,4219,-9083
2940,-2494,-443,557,135,3168,-7894
2960,-1676,-150,302,-367,2111,-6867
2980,-1066,41,63,-1720,2356,-3619
3000,-1057,63,32,-3785,3864,771
3020,-1699,-70,135,-6077,6238,5975
3040,-3769,-577,791,-8493,9956,12361
3060,-3926,-1086,1545,-11379,10022,17983
3080,-3926,-1174,1544,-12004,4867,22126
3100,-3926,-1653,1341,-8553,-1113,23878
3120,-3926,-1901,1060,-2789,-5619,19774
3140,-3636,-1662,454,3563,-6800,14893
3160,-1739,-1185,141,8443,-5711,11500
3180,-1075,-904,582,9441,-4318,8698
3200,542,-370,-3515,-15754,-16379,6351
3220,-1958,-17,160,-27948,5215,-2563
3240,-2057,348,-958,-27831,-3951,-12973
3260,-3926,-492,123,-22025,-2159,-21415
3280,-3926,-1353,529,-11426,-1,-19843
3300,-3926,-1028,1371,-3823,1689,-14998
3320,-3926,-911,1477,-2167,-1817,-24441
3340,-3926,-816,1641,857,-3441,-18946
3360,-3926,-547,1640,-1455,-6624,-18782
3380,-3792,-2,988,-5255,-8506,-15133
3400,-2777,409,666,-10536,-7468,-11913
3420,-1277,993,-47,-15272,-5750,-7165
3440,-395,1472,-453,-18275,-3658,-448
3460,-198,1914,-649,-19106,-3471,8739
3480,-1284,1358,-442,-16796,-6647,18775
3500,-3926,-1654,1054,-6264,-13082,25787
3520,-3926,-2338,1947,686,-12215,20356
3540,-3926,-2701,2009,6364,-11913,20830
3560,-3926,-2381,2136,9759,-9423,18693
3580,-3926,-1797,1603,11032,-5335,17519
3600,-3926,-1174,1232,10010,-854,15820
3620,-3926,-1016,1256,6210,2226,13404
3640,-3175,-912,1020,1253,2602,11938
3660,-2367,-882,586,-2978,1658,10430
3680,-943,-1086,-373,-5139,1693,6434
3700,-260,-1324,-798,-5218,4212,-1239
3720,-126,-1317,-736,-4012,6948,-11165
3740,-1572,-327,128,-3149,5022,-20450
3760,-3695,320,1195,-3453,167,-27026
3780,-2620,-323,800,-4911,-3365,-19110
3800,-3408,-527,1251,-5422,-3986,-9976
3820,-3926,36,947,-8698,-6811,-22149
3840,-3926,-450,1550,-8487,-8467,-23812
3860,-3926,-1517,1924,-5381,-6111,-19615
3880,-3926,-1024,1639,-4266,-6050,-21538
3900,-3926,-416,1226,-4117,-6005,-18191
3920,-3762,7,942,-6024,-6145,-15102
3940,-2845,382,605,-8482,-5490,-11870
3960,-765,1442,-77,-10064,-4997,-7509
3980,179,2621,-443,-10576,-6183,-1659
4000,-860,973,-311,-5878,-11406,14856
4020,-223,772,-289,524,-10495,14737
4040,237,853,-331,7451,-8896,16203
4060,-1303,531,275,11766,-3944,20835
4080,-3904,-459,1086,14670,-1072,25648
4100,-3926,-1573,2666,12995,4884,21875
4120,-3926,-1417,2653,8564,4763,21407
4140,-3926,-1371,2236,3544,3006,22484
4160,-3926,-1474,2044,-329,132,21368
4180,-3926,-1647,1694,-1009,-2514,21215
4200,-3926,-1660,1108,-143,-5081,18456
4220,-3554,-1454,660,1425,-5952,15250
4240,-1537,-1206,-40,2483,-5938,12046
4260,-688,-1076,-16,-1653,-4169,3727
4280,-635,-500,469,-10483,-5611,-4551
4300,-1252,892,360,-22945,-13479,-12192
4320,-3923,2304,252,-31642,-14110,-20128
4340,-3923,1004,840,-32585,-10699,-12692
4360,-3025,-819,-1554,-25285,2138,-2685
4380,-3923,-2399,1758,-17508,11197,-15736
4400,-3926,-1851,578,-7351,12026,-10845
4420,-3926,-1576,1784,-3225,10537,-16084
4440,-3926,-820,1663,-1702,8426,-15348
4460,-2592,127,1339,-4804,4445,-11481
4480,-1073,905,975,-11372,1375,-3836
4500,320,1976,88,-14950,279,1869
4520,-806,1933,-234,-19281,-6587,23039
4540,-3926,-326,813,-13427,-12008,30522
4560,-3926,-2057,2256,-8750,-15209,21271
4580,-3926,-2958,2061,-2121,-16977,21220
4600,-3926,-2573,1418,3422,-15041,15733
4620,-3926,-2221,1414,8289,-10453,14965
4640,-3926,-1510,1041,10794,-6223,13500
4660,-3335,-994,910,9887,-1600,12520
4680,-2231,-756,532,6058,1356,11986
4700,-646,-875,-282,668,3752,10267
4720,2654,-3213,-906,-5319,5330,3162
4740,-641,-865,-10,-7302,6108,-8796
4760,-874,-327,419,-9354,4600,-12257
4780,-877,-11,154,-11921,-161,-12888
4800,-1057,-102,-383,-11987,-3730,-12961
4820,-3238,-15,234,-9804,-2476,-19090
4840,-3925,-847,1512,-6812,-1697,-26920
4860,-3926,-1308,1292,-1086,-3436,-16454
4880,-3926,-778,1573,-1635,-4929,-20758
4900,-3926,-729,1495,-2540,-5677,-19080
4920,-3926,-326,1424,-5354,-5022,-15924
4940,-2769,206,792,-9761,-4159,-12910
4960,-306,1071,-322,-14254,-1406,-6819
4980,591,1526,-780,-18283,4083,2297
