timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
3720,-252,12,864,1,0,0
3740,-257,12,867,6,9,0
3760,-258,15,871,-3,-2,-2
3780,-257,11,868,-9,-5,-2
3800,-255,11,868,-1,-2,0
3820,-255,11,865,5,2,0
3840,-259,12,873,3,6,-1
3860,-256,11,864,-9,-10,0
3880,-256,10,868,-1,-3,-1
3900,-253,9,864,3,2,3
3920,-259,13,871,6,7,-2
3940,-255,12,869,-4,-7,-1
3960,-253,14,868,1,-2,-1
3980,-255,10,865,-1,1,0
4000,-256,11,869,-4,-3,2
4020,-255,9,865,-1,0,1
4040,-257,14,869,0,-1,2
4060,-257,11,869,-1,0,-1
4080,-258,10,867,-3,-2,-1
4100,-256,13,867,1,-1,1
4120,-256,11,868,3,3,0
4140,-256,12,868,-2,-3,1
4160,-258,11,867,-8,-7,0
4180,-258,11,865,1,0,-1
4200,-258,10,865,4,1,0
4220,-256,14,870,3,2,1
4240,-256,8,867,-10,-10,0
4260,-256,9,864,0,-5,0
4280,-256,12,868,7,7,1
4300,-257,14,868,3,3,0
4320,-255,12,868,-11,-10,-1
4340,-253,5,866,-10,-9,2
4360,-256,12,867,5,7,2
4380,-259,14,871,10,10,0
4400,-258,13,868,-5,-7,0
4420,-254,11,864,-13,-11,2
4440,-256,11,868,2,3,1
4460,-256,12,869,9,7,0
4480,-258,11,870,-3,-1,0
4500,-255,8,865,-14,-13,-2
4520,-254,11,867,-2,-4,0
4540,-256,11,868,7,6,0
4560,-257,12,870,0,2,0
4580,-257,11,869,-3,-4,-1
4600,-255,10,867,-4,-2,0
4620,-254,12,870,2,5,1
4640,-255,13,869,-1,0,-1
4660,-254,11,869,-5,-4,1
4680,-256,10,867,-2,0,0
4700,-255,11,867,2,0,1
4720,-258,11,866,-1,1,-1
4740,-254,9,865,-5,-6,2
4760,-255,12,866,1,3,-2
4780,-258,10,866,3,4,0
4800,-255,14,869,0,-3,-1
4820,-252,9,869,-8,-5,-1
4840,-256,11,866,-3,-4,1
4860,-255,11,869,7,6,1
4880,-257,13,870,5,5,1
4900,-257,11,868,-5,-6,1
4920,-253,8,869,-13,-16,3
4940,-255,6,865,-2,-3,1
4960,-257,15,870,12,14,1
4980,-256,13,871,4,6,-1
